price_lag1,dem_lag1,price_lag2,dem_lag2,price_lag48,dem_lag48,price_roll48,dem_roll48,vic_lag1,transfer_lag1,day,period,target
0.054642,0.44094,0.059235,0.445254,0.056443,0.439155,0.04466016666666667,0.4196358125,0.003467,0.414912,3,0.0,5.923500000000001
0.059235,0.442874,0.054642,0.44094,0.051699,0.415055,0.04471833333333334,0.41971329166666665,0.003467,0.414912,3,0.021277,5.6443
0.056443,0.41089,0.059235,0.442874,0.051489,0.385004,0.044817166666666665,0.4196265208333334,0.003467,0.414912,3,0.042553,5.1489
0.051489,0.378905,0.056443,0.41089,0.045485,0.314639,0.044817166666666665,0.41949945833333335,0.003467,0.414912,3,0.06383,4.437399999999999
0.044374,0.316721,0.051489,0.378905,0.042482,0.251116,0.04479402083333334,0.4195428333333333,0.003467,0.414912,3,0.085106,4.1041
0.041041,0.257959,0.044374,0.316721,0.041161,0.207528,0.044764,0.4196853958333333,0.003467,0.414912,3,0.106383,4.1161
0.041161,0.214073,0.041041,0.257959,0.041161,0.171824,0.044764,0.41982175000000005,0.003467,0.414912,3,0.12766,4.1161
0.041161,0.178816,0.041161,0.214073,0.041161,0.152782,0.044764,0.41996741666666665,0.003467,0.414912,3,0.148936,4.0951
0.040951,0.151889,0.041161,0.178816,0.041161,0.13493,0.044759625,0.4199488125,0.003467,0.414912,3,0.170213,4.1011
0.041011,0.1385,0.040951,0.151889,0.041161,0.140583,0.044756500000000005,0.4200231875,0.003467,0.414912,3,0.191489,4.1041
0.041041,0.142071,0.041011,0.1385,0.044374,0.168997,0.044753999999999995,0.42005418750000006,0.003467,0.414912,3,0.212766,4.2482
0.042482,0.171675,0.041041,0.142071,0.049868,0.212437,0.044714583333333335,0.42010997916666665,0.003467,0.414912,3,0.234043,5.1489
0.051489,0.214519,0.042482,0.171675,0.051489,0.298721,0.044748354166666664,0.42015335416666666,0.003467,0.414912,3,0.255319,5.1489
0.051489,0.30244,0.051489,0.214519,0.042482,0.39036,0.04474835416666667,0.4202308333333334,0.003467,0.414912,3,0.276596,5.1489
0.051489,0.393038,0.051489,0.30244,0.040861,0.402261,0.044936000000000004,0.42028662499999997,0.003467,0.414912,3,0.297872,4.0861
0.040861,0.395567,0.051489,0.393038,0.040711,0.462214,0.044936000000000004,0.4201471666666667,0.003467,0.414912,3,0.319149,4.0861
0.040861,0.456561,0.040861,0.395567,0.040861,0.488248,0.044939125,0.4200293958333334,0.003467,0.414912,3,0.340426,4.0861
0.040861,0.487504,0.040861,0.456561,0.040711,0.493306,0.044939124999999996,0.4200138958333333,0.003467,0.414912,3,0.361702,4.0861
0.040861,0.488991,0.040861,0.487504,0.041041,0.53258,0.044942249999999996,0.41992399999999996,0.003467,0.414912,3,0.382979,4.1041
0.041041,0.52886,0.040861,0.488991,0.041161,0.546415,0.04494225000000001,0.4198465,0.003467,0.414912,3,0.404255,4.1041
0.041041,0.533323,0.041041,0.52886,0.044374,0.53496,0.04493975,0.41957375,0.003467,0.414912,3,0.425532,4.1041
0.041041,0.519935,0.041041,0.533323,0.044374,0.51681,0.0448703125,0.4192607291666666,0.003467,0.414912,3,0.446809,4.236199999999999
0.042362,0.502529,0.041041,0.519935,0.044374,0.513984,0.04482839583333334,0.4189632083333333,0.003467,0.414912,3,0.468085,4.2482
0.042482,0.491818,0.042362,0.502529,0.045485,0.513835,0.04478897916666666,0.4185014166666667,0.003467,0.414912,3,0.489362,4.437399999999999
0.044374,0.486909,0.042482,0.491818,0.044374,0.505356,0.04476583333333334,0.4179404583333333,0.003467,0.414912,3,0.510638,4.437399999999999
